psql:vacuum_scripts_2.sql:2: ERROR:  syntax error at or near "/"
LINE 1: /timing
        ^
psql:vacuum_scripts_2.sql:3: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_01" does not exist
psql:vacuum_scripts_2.sql:4: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_02" does not exist
psql:vacuum_scripts_2.sql:5: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_03" does not exist
psql:vacuum_scripts_2.sql:6: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_04" does not exist
psql:vacuum_scripts_2.sql:7: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_05" does not exist
psql:vacuum_scripts_2.sql:8: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_06" does not exist
psql:vacuum_scripts_2.sql:9: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_07" does not exist
psql:vacuum_scripts_2.sql:10: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_08" does not exist
psql:vacuum_scripts_2.sql:11: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_09" does not exist
psql:vacuum_scripts_2.sql:12: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_10" does not exist
psql:vacuum_scripts_2.sql:13: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_11" does not exist
psql:vacuum_scripts_2.sql:14: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_12" does not exist
psql:vacuum_scripts_2.sql:15: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_13" does not exist
psql:vacuum_scripts_2.sql:16: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_14" does not exist
psql:vacuum_scripts_2.sql:17: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_15" does not exist
psql:vacuum_scripts_2.sql:18: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_16" does not exist
psql:vacuum_scripts_2.sql:19: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_17" does not exist
psql:vacuum_scripts_2.sql:20: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_18" does not exist
psql:vacuum_scripts_2.sql:21: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_19" does not exist
psql:vacuum_scripts_2.sql:22: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_20" does not exist
psql:vacuum_scripts_2.sql:23: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_21" does not exist
psql:vacuum_scripts_2.sql:24: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_22" does not exist
psql:vacuum_scripts_2.sql:25: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_23" does not exist
psql:vacuum_scripts_2.sql:26: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_24" does not exist
psql:vacuum_scripts_2.sql:27: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_25" does not exist
psql:vacuum_scripts_2.sql:28: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_26" does not exist
psql:vacuum_scripts_2.sql:29: ERROR:  relation "perfstat.pg_stat_all_indexes_hist_p2023_09_27" does not exist
